Temp,Salinity,DO,pH
20.5,36,10.67,7.85
20.3,35,11.6,7.96
19.9,37,4.65,8.03
18.9,33,2.38,7.58
19.4,35,9.41,8.03
19.8,35,11.19,7.91
20.2,34,12.95,8.04
19.4,36,13.21,8.04
19.4,36,3.5,7.63
19.3,34,6.09,7.63
19.5,34,8.29,7.97
19.6,36,10.7,7.96
19.8,35,8.99,7.86
19.2,37,8.41,7.9
19.5,34.6,9.52,7.96
19.4,32,9.44,7.9
19,36,4.86,7.81
19.6,36,10.91,7.97
20.2,35,12.6,8.09
19.7,38,12.5,8.05
19.3,34,10.19,8.03
19,33,10.07,7.99
18.7,35,2.21,7.67
19.5,36,11.3,7.98
20.2,35,6.78,7.86
19.5,37,10.89,8.04
19,36,9.87,7.9
19.7,35,7.58,7.93
18.9,37,9.8,8.04
19.5,36,11.66,8
19.9,36,7.61,7.86
19.6,36,10.37,8
18.9,38,9.93,7.97
18.9,34,6.23,7.83
19,36,6.32,7.81
19.6,36,11.31,8.02
20.2,34,9.56,7.99
19.3,35,8.57,7.91
18.8,39,9.59,7.98
19,34,4.51,7.8
19.3,35,7.86,7.79
19.7,36,11.35,8.02
19.5,34,9.75,7.98
17.7,35,11.22,8.07
18.8,33,9.63,7.99
19.6,35,12.56,8.19
19,36,6.41,7.76
19.5,36,10.63,8.03
19.6,35,12.72,8.13
19,36,12.34,8.06
18.8,37,9.63,7.99
19.7,35,12.47,8.16
18.8,37,9.36,7.96
19.2,36,10.27,8.07
19,35,9.63,7.96
18.7,36,5.37,7.76
19.4,36,13.02,8.18
18.8,35,9.39,7.98
18.9,36,7.92,7.72
18.9,36,9.64,7.96
18.9,35,9.49,7.85
18.7,37,9.05,7.97
18.8,37,9.41,7.98
18.8,36,7.8,7.82
18.9,35,9.55,7.96
18.9,36,9.36,7.76
18.7,37,9.33,7.99
